Codigo_Mat;Material;Grupo ;Ing1;Ing2;Ing3;Almacen;Total;Unidad_Med
1000073;"TAPON PVC SOLDADO DE 3/4""";1300;0;0;0;0;0;UN
1000074;"TAPON PVC SOLDADO DE 1""";1300;0;0;0;0;0;UN
1000075;"TAPON PVC SOLDADO DE 1.1/4""";1300;0;0;0;0;0;UN
1000076;"TAPON PVC SOLDADO DE 1.1/2""";1300;0;0;0;0;0;UN
1000077;"TAPON PVC SOLDADO DE 2""";1300;0;0;0;0;0;UN
1000078;"TAPON PVC SOLDADO DE 2.1/2""";1300;0;0;0;0;0;UN
1000079;"TAPON PVC SOLDADO DE 3""";1300;0;0;0;0;0;UN
1000080;"TAPON PVC SOLDADO DE 4""";1300;0;0;0;0;0;UN
1000081;BUJE PVC SOLDADO DE 3/4 X 1/2;1300;0;0;0;0;0;UN
1000082;BUJE PVC SOLDADO DE 1 X 1/2;1300;0;0;0;0;0;UN
1000083;BUJE PVC SOLDADO DE 1 X 3/4;1300;0;0;0;0;0;UN
1000084;BUJE PVC SOLDADO DE 1.1/4 X 1/2;1300;0;0;0;0;0;UN
1000085;BUJE PVC SOLDADO DE 1.1/4 X 3/4;1300;0;0;0;0;0;UN
1000086;BUJE PVC SOLDADO DE 1.1/4 X 1;1300;0;0;0;0;0;UN
1000087;BUJE PVC SOLDADO DE 1. 1/2 X 1/2;1300;0;0;0;0;0;UN
1000088;BUJE PVC SOLDADO DE 1.1/2 X 3/4;1300;0;0;0;0;0;UN
1000089;BUJE PVC SOLDADO DE 1.1/2 X 1;1300;0;0;0;0;0;UN
1000090;BUJE PVC SOLDADO DE 1.1/2 X 1.1/4;1300;0;0;0;0;0;UN
1000091;BUJE PVC SOLDADO DE 2 X 1/2;1300;0;0;0;0;0;UN
1000092;BUJE PVC SOLDADO DE 2 X 3/4;1300;0;0;0;0;0;UN
1000093;BUJE PVC SOLDADO DE 2 X 1;1300;0;0;0;0;0;UN
1000094;BUJE PVC SOLDADO DE 2 X 1.1/4;1300;0;0;0;0;0;UN
1000095;BUJE PVC SOLDADO DE 2 X 1.1/2;1300;0;0;0;0;0;UN
1000096;BUJE PVC SOLDADO DE 2.1/2 X 1.1/2;1300;0;0;0;0;0;UN
1000097;BUJE PVC SOLDADO DE 2.1/2 X 2;1300;0;0;0;0;0;UN
1000098;BUJE PVC SOLDADO DE 3 X 2;1300;0;0;0;0;0;UN
